Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Кабалюк,Герман,Юрійович,Чоловік,2000-09-28,Диригент,село Березівка,"набережна Наявний 4-й, буд. 4 кв. 2, Заставна, 84155",715 11 78,davymukanestor@example.net
Жученко,Федір,Степанович,Чоловік,1984-10-13,Хімік,хутір Чорноморськ,"проспект 4-та Лінія Марії Демченко, буд. 14 кв. 0, Євпаторія, 71290",+380 95 892-49-85,dannakozachenko@example.org
Івасюк,Азар,Тимофійович,Чоловік,1941-03-21,Бібліотекар,хутір Біляївка,"проспект Фабрична, буд. 765 кв. 061, Валки, 34279",602-37-60,sofiia28@example.org
Авдєєнко,Леонід,Євгенович,Чоловік,1941-08-31,Геолог,село Зборів,"проспект Москеті, буд. 65, Чигирин, 19977",+380 55 384-02-60,rebrykdanna@example.org
Притула,Микита,Максимович,Чоловік,1983-01-06,Мистецтвознавець,місто Сторожинець,"площа Олександра Білостінного, буд. 8, Федорівка, 64076",+380 95 015-30-85,sviatoslavshutko@example.org
Забара,Тарас,Павлович,Чоловік,1961-03-17,Сантехнік,селище Міусинськ,"вулиця Рачкова, буд. 8, Вишневе, 04488",021 196 53 75,lsachenko@example.com
Перебийніс,Борис,Володимирович,Чоловік,1939-09-08,Водій,місто Горохів,"проспект Тіниста, буд. 119 кв. 301, Отаманівка, 38388",+380 32 216 92 43,izhalilo@example.org
Шиян,Трохим,Тимофійович,Чоловік,1995-07-23,Живописець,селище Радомишль,"набережна Олександра Мурашка, буд. 9, Васильків, 14605",074-52-99,ielyseilavrenko@example.com
Андрусенко,Євген,Романович,Чоловік,1952-07-06,Фольклорист,селище Ічня,"провулок Соляна, буд. 728 кв. 79, Калуш, 35262",+380 56 289-18-86,onishchukonysym@example.org
Олійник,Дмитро,Степанович,Чоловік,2007-05-07,Музикознавець,селище Скадовськ,"проспект Львівська, буд. 9 кв. 06, Білопілля, 18413",+380 (32) 220-25-93,kamillaievdokymenko@example.org
Зайченко,Омелян,Арсенійович,Чоловік,1954-03-09,Гірник,хутір Ізмаїл,"шосе Соляний 1-й, буд. 6, Білозерське, 29127",056 283 86 69,babenkohavrylo@example.net
Яремко,Петро,Петрович,Чоловік,2003-08-25,Євнух,селище Новогродівка,"провулок Василя Стуса, буд. 58 кв. 449, Чугуїв, 64518",+380 66 606-34-66,kolesnychenkolevko@example.net
Твердохліб,Онисим,Степанович,Чоловік,2006-06-23,Мірошник,хутір Херсон,"сквер Мукачівський, буд. 40 кв. 32, Перевальськ, 34410",+380 41 140-13-69,mariana00@example.org
Шаповал,Павло,Степанович,Чоловік,1994-01-10,Складальник,місто Новогродівка,"провулок Сміливий, буд. 7 кв. 993, Вознесенівка, 22744",+380 05 342 93 82,dashenkobohdan@example.com
Дейнеко,Леонід,Романович,Чоловік,1940-12-04,Режисер,хутір Суми,"набережна Матроська Слободка , буд. 3 кв. 30, Шаргород, 27844",040 758 55 12,solomonaleksiichuk@example.com
Міщенко,Арсен,Богданович,Чоловік,1961-12-26,Швачка,місто Горохів,"площа Трудовий, буд. 9 кв. 34, Залізне, 37176",+380 60 197-21-65,stsymbaliuk@example.com
Бевзенко,Остап,Романович,Чоловік,1984-06-20,Гірник,місто Добропілля,"парк Роздольна, буд. 471, Вільногірськ, 61529",+380 41 440 25 75,ielyseipylypenko@example.net
Черінько,Гліб,Володимирович,Чоловік,1957-05-03,Юрист,селище Кременець,"площа Вапняне селище, буд. 2, Коломия, 45487",099 250 08 69,kostiantyn77@example.com
Андрійчук,Віталій,Олександрович,Чоловік,1986-09-19,Електромонтажник,селище Сміла,"вулиця Гобеленова, буд. 06, Луганськ, 62233",703 07 09,nlemeshko@example.com
Захарченко,Дмитро,Григорович,Чоловік,1962-05-10,Детектив,місто Ізмаїл,"узвіз Іони Отаманського, буд. 3, Павлоград, 66856",+380 (47) 890-05-77,erak@example.com
Бандура,Хома,Арсенійович,Чоловік,1943-07-11,Хімік,селище Очаків,"набережна Юрія Кондратюка, буд. 29, Молочанськ, 10039",+380 (43) 402-82-22,hennadii87@example.org
Примаченко,Остап,Юрійович,Чоловік,1939-05-09,Композитор,село Полонне,"набережна Цимлянська, буд. 4 кв. 462, Чугуїв, 51565",+380 (61) 548-43-98,ievhen46@example.org
Кириленко,Роман,Степанович,Чоловік,2005-12-01,Гінеколог,село Умань,"набережна Жевахова, буд. 09 кв. 4, Чигирин, 05098",+380 22 474-46-87,iakiv19@example.net
Опанасенко,Марко,Андрійович,Чоловік,1975-01-04,Клоун,хутір Пирятин,"шосе Рекордний, буд. 6 кв. 6, Скалат, 29371",778-10-49,orysia21@example.net
Килимник,Валерій,Андрійович,Чоловік,1944-09-03,Громадський діяч,селище Горохів,"проспект Амбулаторна, буд. 601 кв. 984, Харків, 07128",+380 78 408 19 33,marianatsiutsiura@example.net
Даниленко,Гордій,Павлович,Чоловік,1939-03-13,Науковець,місто Таврійськ,"узвіз Чорноморського козацтва, буд. 404, Часів Яр, 63712",+380 35 807-47-49,prokhirshutko@example.net
Семенченко,Григорій,Богданович,Чоловік,1968-10-20,Драматург,хутір Глухів,"провулок Скидановська, буд. 694 кв. 79, Баранівка, 51081",+380 14 326 11 11,liliiababarychenko@example.net
Цюцюра,Леон,Петрович,Чоловік,1949-05-20,Електрослюсар,хутір Вишневе,"набережна Середньофонтанський, буд. 41, Вишневе, 15218",+380 43 931 35 61,martyn08@example.net
Червоненко,Адам,Миколайович,Чоловік,1953-05-06,Круп'є,село Тростянець,"вулиця Змієнка Всеволода, буд. 784, Жовква, 65667",+380 (27) 773-96-65,mykhaliukhanna@example.com
Бабʼяк,Петро,Юрійович,Чоловік,1964-09-06,Науковець,місто Берегове,"площа Дунайська, буд. 983, Рава-Руська, 57196",+380 71 958 75 30,ivanchenko@example.com
Шведченко,Нестор,Арсенійович,Чоловік,1965-01-31,Хореограф,село Вашківці,"сквер Чумацька, буд. 2, Вашківці, 99044",+380 85 262-24-75,ievhennosachenko@example.org
Рубець,Роман,Юрійович,Чоловік,2002-01-03,Льотчик,село Зеленодольськ,"проспект Остапа Вишні, буд. 1, Ніжин, 71225",092 403 97 30,liudmyla45@example.com
Носаченко,Леопольд,Юрійович,Чоловік,2001-07-31,Кінорежисер,село Болехів,"площа Бродська, буд. 071 кв. 721, Герца, 56536",+380 05 528-61-92,pzinkevych@example.net
Акименко,Мирослав,Богданович,Чоловік,2007-09-01,Кур'єр,село Куп'янськ,"сквер Композитора Вербицького, буд. 9 кв. 395, Благовіщенське, 66628",+380 46 321-79-87,gshutko@example.org
Микитюк,Станіслав,Максимович,Чоловік,1945-06-05,Антрополог,селище Сіверськодонецьк,"узвіз Виноградний, буд. 24, Ізяслав, 68511",+380 27 718 51 52,shabliialbert@example.net
Кармалюк,Стефан,Євгенович,Чоловік,1997-11-14,Археолог,селище Вуглегірськ,"вулиця Запорізька, буд. 262 кв. 743, Гнівань, 82313",148 30 65,atamanchukanzhela@example.net
Мазепа,Руслан,Олександрович,Чоловік,1953-10-15,Головний меркшейдер,село Перечин,"вулиця Кінбурнський, буд. 903, Жидачів, 48707",+380 47 843-21-50,panasshablii@example.com
Ісаєнко,Пантелеймон,Володимирович,Чоловік,2006-01-15,Мікробіолог,селище Красноперекопськ,"узвіз Василя Кандинського 2-й, буд. 2 кв. 08, Новоград-Волинський, 51351",+380 30 057 06 67,svitlana46@example.org
Дашкевич,Варфоломій,Сергійович,Чоловік,1939-03-11,Бібліотекар,хутір Щолкіне,"узвіз Кордонний, буд. 2, Тульчин, 09826",+380 26 878 25 49,iakymchukroksolana@example.org
